crime_id,crime_type,district,police_station,crime_date,crime_time,latitude,longitude,suspect_id,victim_id,weapon_used,modus_operandi,severity,status
CR00149,Burglary,Bengaluru Urban,Jayanagar,2023-06-26,17:27,12.955734,77.608325,S4736,V5181,Stolen Vehicle,Cyber intrusion,5,Arrested
CR00150,Drug Offence,Belagavi,Shahu Nagar,2024-12-07,06:22,15.843563,74.497477,S4014,V6275,Rope,Home invasion,4,Investigation
CR00151,Assault,Mysuru,Gokulam,2023-12-25,00:27,12.28436,76.683922,S1719,V6539,Bat,Strangulation,1,Investigation
CR00152,Vehicle Theft,Ballari,Sampangi,2023-09-19,00:50,15.153771,76.950883,S2541,V5827,Stolen Vehicle,Home invasion,1,Closed
CR00153,Drug Offence,Kalaburagi,Station Road,2024-02-16,07:19,17.354672,76.848395,S1451,V5392,Rope,Cyber intrusion,3,Arrested
CR00154,Vehicle Theft,Mysuru,Gokulam,2023-02-27,20:12,12.33014,76.66778,S2974,V8215,None,Hit and run,3,Cold Case
CR00155,Burglary,Shivamogga,Nagara,2022-11-15,22:24,13.927368,75.525142,S2097,V7731,Stolen Vehicle,Strangulation,3,Arrested
CR00156,Murder,Hubballi-Dharwad,Gabburda,2022-10-26,13:42,15.374502,75.137044,S1993,V8588,Poison,Home invasion,5,Closed
CR00157,Vehicle Theft,Hubballi-Dharwad,Bharat,2023-07-18,07:57,15.378303,75.104725,S2659,V8494,Mobile,Bribery,1,Cold Case
CR00158,Robbery,Ballari,Karnataka,2024-12-09,15:38,15.098604,76.947469,S2846,V7317,Crowbar,Strangulation,5,Open
CR00159,Burglary,Ballari,Karnataka,2023-12-28,12:00,15.154561,76.925674,S1472,V5461,None,Kidnap and ransom,4,Cold Case
CR00160,Kidnapping,Mysuru,VV Mohalla,2023-01-10,17:26,12.309767,76.657437,S1948,V8349,Unknown,Strangulation,3,Arrested
CR00161,Robbery,Bengaluru Urban,Central,2022-03-06,06:38,12.960513,77.597696,S1380,V7785,None,Strangulation,5,Closed
CR00162,Kidnapping,Ballari,Shantinagar,2022-09-04,18:03,15.133533,76.933185,S3457,V6060,Poison,Bribery,4,Cold Case
CR00163,Kidnapping,Bengaluru Urban,Majestic,2022-01-08,08:25,12.93264,77.552578,S1832,V8654,Knife,Home invasion,4,Cold Case
CR00164,Domestic Violence,Shivamogga,Pinjrapole,2022-06-18,23:15,13.962758,75.563618,S1437,V6645,Firearm,Hit and run,2,Closed
CR00165,Burglary,Ballari,Sampangi,2022-11-09,09:48,15.177439,76.882737,S4579,V5337,Firearm,Strangulation,2,Closed
CR00166,Domestic Violence,Vijayapura,Station,2022-04-17,14:00,16.866617,75.737475,S2641,V7056,None,Bribery,4,Closed
CR00167,Domestic Violence,Bengaluru Urban,Jayanagar,2024-02-17,10:11,13.006072,77.597981,S3731,V5327,Mobile,Strangulation,2,Arrested
CR00168,Burglary,Vijayapura,Old City,2023-10-01,02:38,16.801432,75.736491,S3664,V8939,None,Scam call,4,Cold Case
CR00169,Kidnapping,Hubballi-Dharwad,Gabburda,2023-06-03,19:32,15.387588,75.11352,S4221,V8614,Bat,Bribery,1,Arrested
CR00170,Burglary,Mysuru,Gokulam,2023-03-06,18:23,12.272659,76.626761,S4457,V6878,Knife,Cyber intrusion,3,Cold Case
CR00171,Assault,Ballari,Karnataka,2022-04-07,15:07,15.136664,76.917856,S3356,V7519,Unknown,Home invasion,3,Investigation
CR00172,Assault,Shivamogga,Salem,2023-06-21,19:25,13.954685,75.550975,S1206,V5689,Bat,Strangulation,4,Investigation
CR00173,Theft,Shivamogga,Pinjrapole,2024-08-27,21:30,13.89066,75.535661,S3669,V7490,Crowbar,Scam call,5,Closed
CR00174,Drug Offence,Belagavi,Sammathal,2022-05-09,21:42,15.872633,74.485619,S3886,V8468,Unknown,Hit and run,1,Closed
CR00175,Vehicle Theft,Mangaluru,Boloor,2023-11-18,11:41,12.918926,74.85863,S3944,V6751,Poison,Scam call,1,Open
CR00176,Kidnapping,Belagavi,Nipani,2023-07-08,19:45,15.848248,74.521489,S3150,V5174,Firearm,Forced entry,4,Closed
CR00177,Theft,Mysuru,Gokulam,2022-06-08,04:01,12.305862,76.636532,S4014,V6644,Knife,Home invasion,3,Cold Case
CR00178,Domestic Violence,Bengaluru Urban,Majestic,2024-04-23,03:48,13.000084,77.618299,S2618,V5516,Rope,Strangulation,3,Arrested
CR00179,Vehicle Theft,Tumakuru,Chitradurga Road,2023-06-15,14:39,13.351963,77.106837,S4589,V7133,Firearm,Bribery,1,Arrested
CR00180,Theft,Shivamogga,Salem,2022-06-13,03:53,13.899314,75.551744,S4202,V5192,Mobile,Forced entry,5,Arrested
CR00181,Burglary,Hubballi-Dharwad,Gokul Road,2023-04-24,22:48,15.358032,75.098393,S1110,V7547,Rope,Cyber intrusion,2,Cold Case
CR00182,Vehicle Theft,Mysuru,Chamraj,2023-07-27,14:38,12.324906,76.635088,S4014,V7652,Rope,Home invasion,3,Closed
CR00183,Drug Offence,Mangaluru,Boloor,2024-07-13,00:37,12.891444,74.885326,S1596,V6223,Rope,Kidnap and ransom,2,Investigation
CR00184,Theft,Vijayapura,Old City,2024-02-19,04:48,16.803846,75.668306,S2344,V5306,Crowbar,Kidnap and ransom,1,Closed
CR00185,Theft,Mysuru,VV Mohalla,2023-03-13,15:35,12.295102,76.601382,S4463,V5857,Poison,Pickpocketing,3,Arrested
CR00186,Drug Offence,Tumakuru,Chitradurga Road,2023-04-13,14:44,13.364174,77.135847,S1592,V8198,Rope,Strangulation,5,Open
CR00187,Assault,Kalaburagi,Shahnoor,2023-12-01,01:07,17.32475,76.832433,S2191,V8893,Unknown,Bribery,5,Arrested
CR00188,Vehicle Theft,Mangaluru,Boloor,2024-12-21,14:07,12.934964,74.824789,S1595,V8917,Mobile,Hit and run,4,Closed
CR00189,Drug Offence,Kalaburagi,Station Road,2024-09-11,08:16,17.363274,76.793815,S4369,V7023,Firearm,Home invasion,1,Open
CR00190,Vehicle Theft,Hubballi-Dharwad,Gabburda,2022-05-20,23:32,15.340704,75.117849,S1586,V8217,Unknown,Kidnap and ransom,2,Arrested
CR00191,Drug Offence,Shivamogga,Salem,2022-07-31,01:12,13.932073,75.587303,S4729,V7460,Knife,Bribery,3,Arrested
